lat,lon,state,county,site_name
33.488131,-111.855443,Arizona,Maricopa,Senior Center Air Monitoring Station
33.499722,-86.924167,Alabama,Jefferson,Wylam
33.503833,-112.095767,Arizona,Maricopa,JLG SUPERSITE
33.521427,-86.844112,Alabama,Jefferson,Arkadelphia/Near Road
33.545278,-86.549167,Alabama,Jefferson,Leeds
33.553056,-86.815,Alabama,Jefferson,North Birmingham
33.56031,-112.06619,Arizona,Maricopa,NORTH PHOENIX
33.57453,-112.19193,Arizona,Maricopa,GLENDALE
33.58553,-101.78698,Texas,Lubbock,Lubbock 12th Street
33.610845,-84.390717,Georgia,Clayton,Forest Park
33.6878,-84.2905,Georgia,DeKalb,South DeKalb
33.71969,-116.1897,California,Riverside,29 Palms
33.739963,-81.853635,South Carolina,Edgefield,TRENTON
33.750838,-90.734175,Mississippi,Bolivar,Cleveland Delta State
33.7784,-84.3914,Georgia,Fulton,NR-GA Tech
33.793713,-118.171019,California,Los Angeles,Signal Hill (LBSH)
33.8005,-78.9941,South Carolina,Horry,Coastal Carolina University
33.802241,-84.435618,Georgia,Fulton,Fire Station #8
33.83062,-117.93845,California,Orange,Anaheim
33.85275,-116.54101,California,Riverside,Palm Springs
33.859662,-118.200707,California,Los Angeles,Long Beach-Route 710 Near Road
33.901389,-118.205,California,Los Angeles,Compton
33.918137,-83.344385,Georgia,Clarke,Athens
33.944713,-116.830074,California,Riverside,Morongo Air Monitoring Station
33.9632,-84.0691,Georgia,Gwinnett,Gwinnett
33.98821,-85.992556,Alabama,Etowah,GADSDEN C. COLLEGE
33.99636,-117.4924,California,Riverside,Mira Loma (Van Buren)
33.99958,-117.41601,California,Riverside,Rubidoux
34.01029,-118.0685,California,Los Angeles,Pico Rivera #2
34.015436,-84.607423,Georgia,Cobb,Kennesaw
34.030833,-117.61722,California,San Bernardino,Ontario-Route 60 Near Road
34.06659,-118.22688,California,Los Angeles,Los Angeles-North Main Street
34.075687,-81.124988,South Carolina,Richland,Irmo DJJ
34.093959,-80.962304,South Carolina,Richland,PARKLANE
34.10002,-117.49201,California,San Bernardino,Fontana
34.106678,-117.274063,California,San Bernardino,San Bernardino
34.1326,-118.1272,California,Los Angeles,Pasadena
34.19925,-118.53276,California,Los Angeles,Reseda
34.210169,-118.870509,California,Ventura,Thousand Oaks
34.214263,-79.767347,South Carolina,Florence,Williams Middle School
34.2439,-113.5586,Arizona,La Paz,ALAMO LAKE
34.244189,-97.462931,Oklahoma,Carter,HEALDTON
34.25239,-119.143182,California,Ventura,El Rio-Rio Mesa School #2
34.26464,-116.86147,California,San Bernardino,Big Bear
34.276316,-118.683685,California,Ventura,Simi Valley-Cochran Street
34.288567,-85.969858,Alabama,DeKalb,CROSSVILLE
